iter	RMSE
0	0.7922911692
1	0.7873691581
2	0.7827203739
3	0.7783682782
4	0.7745765626
5	0.7707813686
6	0.7671976987
7	0.7630888797
8	0.7596367501
9	0.7564552814
10	0.7530342275
11	0.7497108775
12	0.7459774761
13	0.7431593742
14	0.7400040353
15	0.7366864975
16	0.7347544963
17	0.7315571345
18	0.7290345751
19	0.7266743856
20	0.7244328304
21	0.7224791034
22	0.7204096663
23	0.7185866689
24	0.7167207447
25	0.7150991711
26	0.7133283028
27	0.7112281612
28	0.7092479951
29	0.7075247336
30	0.705507955
31	0.7036604267
32	0.7020338397
33	0.7008262526
34	0.699348316
35	0.69770927
36	0.6956668403
37	0.6938667319
38	0.6928956416
39	0.6914028763
40	0.6903244954
41	0.6891374618
42	0.6875673959
43	0.685943103
44	0.6844245466
45	0.6831881175
46	0.6812719473
47	0.6805886265
48	0.6796742071
49	0.6784126723
50	0.6777548735
51	0.6764026315
52	0.675403821
53	0.6743167742
54	0.6733335853
55	0.6723602995
56	0.6711595599
57	0.6702649411
58	0.6684713491
59	0.6669440938
60	0.6659360303
61	0.6652411981
62	0.6641105492
63	0.6632943706
64	0.662636657
65	0.6621349373
66	0.6610744174
67	0.6604080428
68	0.6598817807
69	0.6591475018
70	0.658734562
71	0.6577690247
72	0.656715547
73	0.6559776902
74	0.6549652498
75	0.6543682689
76	0.6531945441
77	0.6523669771
78	0.6516613111
79	0.6509021716
80	0.6503652733
81	0.6497325475
82	0.6488188341
83	0.648267723
84	0.6477379446
85	0.6468414403
86	0.6463247566
87	0.6453150424
88	0.6443900352
89	0.6435170701
90	0.6423953365
91	0.6417781936
92	0.6409656407
93	0.6403431909
94	0.6397834602
95	0.6389935253
96	0.6383119961
97	0.6375384957
98	0.636667621
99	0.6356197457
100	0.634743699
101	0.6342418054
102	0.633330349
103	0.632654634
104	0.6320958891
105	0.630884367
106	0.6304410679
107	0.6299105074
108	0.62936728
109	0.6289247443
110	0.6283243862
111	0.6275838757
112	0.6269931025
113	0.6262785675
114	0.62561194
115	0.6247042438
116	0.6237214083
117	0.6228108153
118	0.6223156189
119	0.6212527707
120	0.6205729228
121	0.6199138024
122	0.6193677742
123	0.6188314769
124	0.6180536862
125	0.6176014921
126	0.6172417448
127	0.6165596733
128	0.6155895414
129	0.6148657618
130	0.6145647465
131	0.6139699896
132	0.6134481541
133	0.6131664313
134	0.6125803074
135	0.6121135908
136	0.6117253527
137	0.6112112346
138	0.610171044
139	0.6097895614
140	0.6091989493
141	0.6086329147
142	0.6081742745
143	0.6076860537
144	0.6071304924
145	0.6065630993
146	0.6059676333
147	0.6054854173
148	0.6047199359
149	0.6038427456
150	0.6032960962
151	0.6026654341
152	0.6019692505
153	0.6014514562
154	0.600831243
155	0.6004507421
156	0.6000381762
157	0.5994407661
158	0.5988463217
159	0.5984522789
160	0.5981191546
161	0.5976236849
162	0.5971133536
163	0.5966774252
164	0.5962030933
165	0.5955430751
166	0.5948845839
167	0.5945490704
168	0.5936655837
169	0.5930897441
170	0.5922962988
171	0.5917256178
172	0.5911026269
173	0.5901933888
174	0.5895227265
175	0.5887467597
176	0.5882761374
177	0.5874201342
178	0.5865176162
179	0.5858852923
180	0.5855699224
181	0.5849910276
182	0.5844938508
183	0.5836767954
184	0.5833579966
185	0.5828808737
186	0.5820114274
187	0.581629898
188	0.581142343
189	0.5809187583
190	0.5802743844
191	0.5798868553
192	0.5785853998
193	0.5780512566
194	0.5774575747
195	0.5770511848
196	0.5767824164
197	0.5764578554
198	0.5760919472
199	0.5757294429
200	0.5747788137
201	0.5744356979
202	0.5737371663
203	0.5733208214
204	0.5729861423
205	0.5724054138
206	0.5719911044
207	0.5714466225
208	0.5706488379
209	0.5695577219
210	0.5685892209
211	0.5680222757
212	0.5676280548
213	0.566847535
214	0.5663530928
215	0.5651572636
216	0.5649965188
217	0.5647048338
218	0.5643872311
219	0.5635263394
220	0.5629782182
221	0.5624214854
222	0.562143549
223	0.5615703541
224	0.5611160926
225	0.5604107952
226	0.5600488743
227	0.559659213
228	0.559194459
229	0.5587471449
230	0.5583201515
231	0.5580136474
232	0.5576258755
233	0.5571967533
234	0.5566446323
235	0.5560179298
236	0.5558479647
237	0.5552733793
238	0.5550271623
239	0.5548525285
240	0.5546944889
241	0.5542827735
242	0.5541889416
243	0.553631638
244	0.5535128328
245	0.5528079307
246	0.5527032426
247	0.5525499845
248	0.552037077
249	0.5515926067
250	0.5509344959
251	0.5505269904
252	0.550142021
253	0.5495741469
254	0.5492636143
255	0.5489635284
256	0.5487567104
257	0.5486136138
258	0.548112824
259	0.5477388147
260	0.547027392
261	0.5464183828
262	0.5456589309
263	0.5449775911
264	0.5443170357
265	0.5437512324
266	0.5431965116
267	0.5425389796
268	0.541903411
269	0.5415002811
270	0.5409856942
271	0.5404872866
272	0.5404029558
273	0.5398181123
274	0.5392549102
275	0.5386601188
276	0.5381020398
277	0.5375144175
278	0.536882468
279	0.53634748
280	0.5357937458
281	0.5351625152
282	0.534662496
283	0.5339409122
284	0.5333414085
285	0.5328453841
286	0.5320696836
287	0.5319120274
288	0.5314217416
289	0.5311554619
290	0.5302448215
291	0.5301356692
292	0.5295746006
293	0.5293529139
294	0.5288332326
295	0.5280473088
296	0.5276803215
297	0.5271087169
298	0.5270086924
299	0.5264700903
300	0.5259631663
301	0.5256028477
302	0.5249294644
303	0.5242792213
304	0.5237495389
305	0.5230816485
306	0.5226965306
307	0.5222530828
308	0.5219200554
309	0.5215285769
310	0.5210713219
311	0.5205210363
312	0.5203343014
313	0.5197340075
314	0.5196372954
315	0.518067445
316	0.5177027391
317	0.5171175876
318	0.516599201
319	0.5162564075
320	0.5159611074
321	0.5157711363
322	0.5156954801
323	0.5151007878
324	0.5147624593
325	0.5143515119
326	0.5138522944
327	0.5130315565
328	0.5125596138
329	0.5121843645
330	0.5116476604
331	0.5111332872
332	0.5106642715
333	0.5102794125
334	0.5097379076
335	0.5095192138
336	0.5093178962
337	0.5091064163
338	0.5088096661
339	0.5084284036
340	0.5079945912
341	0.5077463686
342	0.5074504911
343	0.5068242458
344	0.5067335761
345	0.5061305948
346	0.5060479459
347	0.5053368404
348	0.5039170958
349	0.5036847924
350	0.5035483372
351	0.5028368657
352	0.5014936893
353	0.5012757918
354	0.500896208
355	0.500517083
356	0.5001278466
357	0.4996276505
358	0.4994388579
359	0.4988263121
360	0.4983083969
361	0.4977967566
362	0.4972475084
363	0.4965310856
364	0.4962592415
365	0.496172657
366	0.4957110253
367	0.4951936374
368	0.495024777
369	0.4947047468
370	0.4941462937
371	0.4935883012
372	0.4932170876
373	0.4924490188
374	0.4921546942
375	0.4920835356
376	0.491713985
377	0.4912615713
378	0.491086094
379	0.4904139166
380	0.4898389525
381	0.4893126952
382	0.488986327
383	0.4884793295
384	0.4883722782
385	0.4880815707
386	0.4877001648
387	0.4873321522
388	0.4868793423
389	0.486268245
390	0.4861096844
391	0.4859116743
392	0.4854313572
393	0.485093516
394	0.4844773426
395	0.4842181543
396	0.4839191913
397	0.4837691471
398	0.4833241612
399	0.4830407971
400	0.4826709496
401	0.4823765216
402	0.4812157526
403	0.4810807151
404	0.4808221405
405	0.4805642438
406	0.4800236004
407	0.4799067614
408	0.4794294536
409	0.4792967792
410	0.4792618274
411	0.478814093
412	0.4784741465
413	0.4783758161
414	0.4782138358
415	0.477925254
416	0.47766175
417	0.4771868275
418	0.4770975418
419	0.4763498734
420	0.4756235758
421	0.4754317316
422	0.4750318622
423	0.473919721
424	0.473526456
425	0.4733168404
426	0.4723923542
427	0.4720424221
428	0.4718212325
429	0.4717808801
430	0.4717611146
431	0.4712766078
432	0.4708737869
433	0.470405618
434	0.4702446961
435	0.4694907694
436	0.4688928208
437	0.4681804834
438	0.4677443944
439	0.4674806548
440	0.4672876607
441	0.467071268
442	0.4667026956
443	0.4661866504
444	0.4658215727
445	0.4656995706
446	0.4652955482
447	0.4649283552
448	0.4648199034
449	0.4647600114
450	0.4642963268
451	0.4634878734
452	0.4631152
453	0.4624432079
454	0.4621948812
455	0.4618764159
456	0.4612344108
457	0.4611173397
458	0.4607696407
459	0.4603906155
460	0.4600458289
461	0.4598321873
462	0.4595859197
463	0.4593233029
464	0.4591239527
465	0.4590710932
466	0.4587998013
467	0.4587050138
468	0.4584874449
469	0.4580358888
470	0.4575967109
471	0.4572513759
472	0.4568866113
473	0.4564086345
474	0.4561400186
475	0.4554976154
476	0.4550392274
477	0.4547307944
478	0.4544884847
479	0.4540564383
480	0.4540234011
481	0.4540054261
482	0.4535635953
483	0.4531419815
484	0.4527799241
485	0.4526283496
486	0.4522280396
487	0.45156543
488	0.4511034558
489	0.45108244
490	0.4505169819
491	0.4501521028
492	0.4497339347
493	0.4494350788
494	0.4490830089
495	0.4488120977
496	0.4483246746
497	0.4482687569
498	0.4476219037
499	0.4471063328
500	0.4470205019
501	0.446453097
502	0.4463959577
503	0.4460837122
504	0.4459053126
505	0.4456732388
506	0.4451756671
507	0.4451421883
508	0.4451241739
509	0.445048486
510	0.444693605
511	0.4444321653
512	0.4440192293
513	0.4438316152
514	0.4435021701
515	0.4430593747
516	0.4425113494
517	0.4417762632
518	0.4416010625
