iter	Passed	Remaining
0	1	1585
1	2	1029
2	2	801
3	2	670
4	3	640
5	3	589
6	3	552
7	4	531
8	4	503
9	4	488
10	5	478
11	5	462
12	5	452
13	6	446
14	6	438
15	6	430
16	7	421
17	7	417
18	8	417
19	8	415
20	8	410
21	9	404
22	9	405
23	9	400
24	10	395
25	10	395
26	10	391
27	11	387
28	11	388
29	12	391
30	12	389
31	12	386
32	13	386
33	13	385
34	13	384
35	14	381
36	14	377
37	14	375
38	15	375
39	15	372
40	15	373
41	16	372
42	16	370
43	16	368
44	17	365
45	17	365
46	17	362
47	18	362
48	18	361
49	18	359
50	19	357
51	19	356
52	19	355
53	20	367
54	21	364
55	21	363
56	21	361
57	22	359
58	22	357
59	22	355
60	22	353
61	23	352
62	23	352
63	24	351
64	24	350
65	24	351
66	25	350
67	25	349
68	25	348
69	26	347
70	26	345
71	26	344
72	26	342
73	27	341
74	27	339
75	27	339
76	28	337
77	28	336
78	28	335
79	29	334
80	29	334
81	29	333
82	30	332
83	30	331
84	30	330
85	31	329
86	31	329
87	31	328
88	31	327
89	32	326
90	32	325
91	33	331
92	33	330
93	34	330
94	34	330
95	35	329
96	35	328
97	35	327
98	35	326
99	36	325
100	36	324
101	36	324
102	37	323
103	37	322
104	37	322
105	38	321
106	38	320
107	38	319
108	39	319
109	39	318
110	39	317
111	40	317
112	40	317
113	40	316
114	40	315
115	41	319
116	42	318
117	42	317
118	42	316
119	43	315
120	43	315
121	43	315
122	44	314
123	44	314
124	44	314
125	45	314
126	45	313
127	45	313
128	46	313
129	46	312
130	47	312
131	47	311
132	47	311
133	48	310
134	48	310
135	48	310
136	49	310
137	49	309
138	49	309
139	50	308
140	50	307
141	50	307
142	51	306
143	51	305
144	51	304
145	52	304
146	52	303
147	52	303
148	52	302
149	53	302
150	53	301
151	54	301
152	54	300
153	54	300
154	54	299
155	55	298
156	55	298
157	55	297
158	56	296
159	56	296
160	56	295
161	57	295
162	57	294
163	57	294
164	57	293
165	58	292
166	58	292
167	59	292
168	59	291
169	59	291
170	59	290
171	60	290
172	60	289
173	60	288
174	61	288
175	61	287
176	61	287
177	61	286
178	62	286
179	62	285
180	63	285
181	63	284
182	63	283
183	63	283
184	64	282
185	64	282
186	64	281
187	65	280
188	65	280
189	65	279
190	65	279
191	66	278
192	66	278
193	66	277
194	67	276
195	67	276
196	67	275
197	67	275
198	68	274
199	68	273
200	68	273
201	69	272
202	69	272
203	69	271
204	70	271
205	70	271
206	70	270
207	70	269
208	71	269
209	71	269
210	71	269
211	72	268
212	72	267
213	72	267
214	73	269
215	74	269
216	74	268
217	74	268
218	75	268
219	75	267
220	75	267
221	76	266
222	76	265
223	76	265
224	76	265
225	77	264
226	77	264
227	77	263
228	78	263
229	78	262
230	78	262
231	79	263
232	80	263
233	80	262
234	80	262
235	80	262
236	81	261
237	81	261
238	81	260
239	82	260
240	82	259
241	82	259
242	83	258
243	83	258
244	83	257
245	83	257
246	84	256
247	84	256
248	84	256
249	85	255
250	85	255
251	85	254
252	86	254
253	86	253
254	86	253
255	86	252
256	87	252
257	87	251
258	87	251
259	88	251
260	88	250
261	88	250
262	89	249
263	89	249
264	89	248
265	89	248
266	90	247
267	90	247
268	90	247
269	91	246
270	91	246
271	91	245
272	92	245
273	92	244
274	92	244
275	93	244
276	93	243
277	93	243
278	94	242
279	94	242
280	94	242
281	95	242
282	95	241
283	95	241
284	95	240
285	96	240
286	96	239
287	96	239
288	96	238
289	97	238
290	97	237
291	97	237
292	98	237
293	98	236
294	98	236
295	99	235
296	99	235
297	99	235
298	100	234
299	100	234
300	100	234
301	101	234
302	101	233
303	101	233
304	102	233
305	102	232
306	102	232
307	103	231
308	103	231
309	103	231
310	104	230
311	104	230
312	104	230
313	105	229
314	105	229
315	105	228
316	105	228
317	106	227
318	106	227
319	106	226
320	107	226
321	107	225
322	107	225
323	107	225
324	108	224
325	108	224
326	108	223
327	109	223
328	109	223
329	109	222
330	110	222
331	110	221
332	110	221
333	110	221
334	111	220
335	111	220
336	111	219
337	111	219
338	112	218
339	112	218
340	112	218
341	113	217
342	113	217
343	113	216
344	113	216
345	114	215
346	114	215
347	114	215
348	115	214
349	115	214
350	115	213
351	115	213
352	116	213
353	116	212
354	116	212
355	117	211
356	117	211
357	117	211
358	118	210
359	118	210
360	118	209
361	118	209
362	119	209
363	119	208
364	119	208
365	120	207
366	120	207
367	120	207
368	120	206
369	121	206
370	121	206
371	121	205
372	122	205
373	122	204
374	122	204
375	122	204
376	123	203
377	123	203
378	123	202
379	124	202
380	124	202
381	124	201
382	124	201
383	125	200
384	125	200
385	125	200
386	126	199
387	126	199
388	126	198
389	126	198
390	127	198
391	127	197
392	127	197
393	128	197
394	128	196
395	128	196
396	129	196
397	129	195
398	129	195
399	129	194
400	130	194
401	130	194
402	130	194
403	131	193
404	131	193
405	131	192
406	132	192
407	132	192
408	132	191
409	133	191
410	133	191
411	133	190
412	133	190
413	134	189
414	134	189
415	134	189
416	135	188
417	135	188
418	135	188
419	135	187
420	136	187
421	136	187
422	136	186
423	137	186
424	137	185
425	137	185
426	138	185
427	138	184
428	138	184
429	138	184
430	139	183
431	139	183
432	139	183
433	140	182
434	140	182
435	140	182
436	141	181
437	141	181
438	141	181
439	142	180
440	142	180
441	142	180
442	142	179
443	143	179
444	143	178
445	143	178
446	144	178
447	144	177
448	144	177
449	144	177
450	145	176
451	145	176
452	146	176
453	146	176
454	147	176
455	147	175
456	147	175
457	147	175
458	148	174
459	148	174
460	148	174
461	149	173
462	149	173
463	149	173
464	150	172
465	150	172
466	150	172
467	151	171
468	151	171
469	151	171
470	151	170
471	152	170
472	152	170
473	152	169
474	153	169
475	153	168
476	153	168
477	154	168
478	154	168
479	154	167
480	155	167
481	155	166
482	155	166
483	156	166
484	156	165
485	156	165
486	156	165
487	157	164
488	157	164
489	157	164
490	158	163
491	158	163
492	158	163
493	159	163
494	159	162
495	159	162
496	160	161
497	160	161
498	160	161
499	160	160
500	161	160
501	161	160
502	161	159
503	162	159
504	162	159
505	162	158
506	162	158
507	163	158
508	163	157
509	163	157
510	164	157
511	164	156
512	164	156
513	165	156
514	165	155
515	165	155
516	166	155
517	166	154
518	166	154
519	166	154
520	167	153
521	167	153
522	167	153
523	168	152
524	168	152
525	168	151
526	168	151
527	169	151
528	169	150
529	169	150
530	170	150
531	171	150
532	171	150
533	171	149
534	171	149
535	172	149
536	172	148
537	172	148
538	173	148
539	173	147
540	173	147
541	174	147
542	174	146
543	174	146
544	174	146
545	175	145
546	175	145
547	175	144
548	176	144
549	176	144
550	176	144
551	176	143
552	177	143
553	177	142
554	177	142
555	178	142
556	178	141
557	178	141
558	178	141
559	179	140
560	179	140
561	179	140
562	180	139
563	180	139
564	180	139
565	180	138
566	181	138
567	181	138
568	181	137
569	182	137
570	182	137
571	182	136
572	182	136
573	183	135
574	183	135
575	183	135
576	184	135
577	184	134
578	184	134
579	185	134
580	185	133
581	185	133
582	186	133
583	186	132
584	186	132
585	186	132
586	187	131
587	187	131
588	187	131
589	188	130
590	188	130
591	188	130
592	188	129
593	189	129
594	189	129
595	189	128
596	190	128
597	190	128
598	191	127
599	191	127
600	191	127
601	192	126
602	192	126
603	192	126
604	192	126
605	193	125
606	193	125
607	194	125
608	194	124
609	194	124
610	194	124
611	195	123
612	195	123
613	195	123
614	196	122
615	196	122
616	196	122
617	197	121
618	197	121
619	197	121
620	198	120
621	198	120
622	198	120
623	198	119
624	199	119
625	199	119
626	199	118
627	200	118
628	200	118
629	200	117
630	201	117
631	201	117
632	201	116
633	202	116
634	202	116
635	202	116
636	203	115
637	203	115
638	203	115
639	203	114
640	204	114
641	204	114
642	204	113
643	205	113
644	205	113
645	205	112
646	206	112
647	206	112
648	206	111
649	207	111
650	207	111
651	207	110
652	207	110
653	208	110
654	208	109
655	208	109
656	209	109
657	209	108
658	209	108
659	210	108
660	210	107
661	210	107
662	210	107
663	211	106
664	211	106
665	211	106
666	212	105
667	212	105
668	212	105
669	212	104
670	213	104
671	213	104
672	213	103
673	214	103
674	214	103
675	214	102
676	215	102
677	215	102
678	215	101
679	215	101
680	216	101
681	216	100
682	216	100
683	217	100
684	217	100
685	217	99
686	218	99
687	218	99
688	218	98
689	219	98
690	219	98
691	219	97
692	220	97
693	220	97
694	220	96
695	220	96
696	221	96
697	221	95
698	222	95
699	223	95
700	223	95
701	223	94
702	224	94
703	224	94
704	224	94
705	224	93
706	225	93
707	225	93
708	225	92
709	226	92
710	226	92
711	226	91
712	227	91
713	227	91
714	227	90
715	228	90
716	228	90
717	228	89
718	228	89
719	229	89
720	230	89
721	230	88
722	230	88
723	230	88
724	231	87
725	231	87
726	231	87
727	232	86
728	232	86
729	232	86
730	233	85
731	233	85
732	233	85
733	233	84
734	234	84
735	234	84
736	234	83
737	235	83
738	235	83
739	235	82
740	236	82
741	236	82
742	236	81
743	237	81
744	237	81
745	237	80
746	237	80
747	238	80
748	238	79
749	238	79
750	239	79
751	239	78
752	239	78
753	239	78
754	240	77
755	240	77
756	240	77
757	241	76
758	241	76
759	241	76
760	242	76
761	242	75
762	242	75
763	242	75
764	243	74
765	243	74
766	243	74
767	244	73
768	244	73
769	244	73
770	245	72
771	245	72
772	245	72
773	246	71
774	246	71
775	246	71
776	247	70
777	247	70
778	247	70
779	248	69
780	248	69
781	248	69
782	249	69
783	249	68
784	249	68
785	250	68
786	250	67
787	251	67
788	251	67
789	252	67
790	253	66
791	253	66
792	253	66
793	254	65
794	254	65
795	254	65
796	255	65
797	255	64
798	256	64
799	256	64
800	256	63
801	257	63
802	257	63
803	257	62
804	258	62
805	258	62
806	258	61
807	259	61
808	259	61
809	259	60
810	260	60
811	260	60
812	260	60
813	261	59
814	261	59
815	261	59
816	262	58
817	263	58
818	263	58
819	263	57
820	264	57
821	264	57
822	264	56
823	265	56
824	265	56
825	265	56
826	266	55
827	267	55
828	268	55
829	268	55
830	268	54
831	269	54
832	269	54
833	269	53
834	270	53
835	270	53
836	271	52
837	271	52
838	272	52
839	272	51
840	272	51
841	273	51
842	273	50
843	273	50
844	273	50
845	274	49
846	274	49
847	274	49
848	275	48
849	275	48
850	275	48
851	276	47
852	276	47
853	276	47
854	276	46
855	277	46
856	277	46
857	277	45
858	278	45
859	278	45
860	278	45
861	279	44
862	279	44
863	279	44
864	279	43
865	280	43
866	280	43
867	280	42
868	281	42
869	281	42
870	281	41
871	282	41
872	282	41
873	283	40
874	284	40
875	285	40
876	285	40
877	285	39
878	286	39
879	286	39
880	286	38
881	287	38
882	287	38
883	288	37
884	288	37
885	288	37
886	288	36
887	289	36
888	289	36
889	290	35
890	290	35
891	290	35
892	291	34
893	291	34
894	291	34
895	292	33
896	292	33
897	292	33
898	293	32
899	293	32
900	294	32
901	294	31
902	294	31
903	295	31
904	295	31
905	296	30
906	296	30
907	297	30
908	297	29
909	297	29
910	298	29
911	298	28
912	298	28
913	299	28
914	299	27
915	300	27
916	300	27
917	300	26
918	301	26
919	301	26
920	301	25
921	301	25
922	302	25
923	302	24
924	302	24
925	303	24
926	303	23
927	303	23
928	304	23
929	304	22
930	304	22
931	305	22
932	305	21
933	305	21
934	305	21
935	306	20
936	306	20
937	306	20
938	307	19
939	307	19
940	307	19
941	308	18
942	308	18
943	308	18
944	308	17
945	309	17
946	309	17
947	309	17
948	310	16
949	310	16
950	310	16
951	311	15
952	311	15
953	311	15
954	312	14
955	312	14
956	312	14
957	313	13
958	313	13
959	313	13
960	313	12
961	314	12
962	314	12
963	314	11
964	314	11
965	315	11
966	315	10
967	315	10
968	316	10
969	316	9
970	316	9
971	317	9
972	317	8
973	317	8
974	318	8
975	318	7
976	318	7
977	318	7
978	319	6
979	319	6
980	319	6
981	320	5
982	320	5
983	320	5
984	320	4
985	321	4
986	321	4
987	321	3
988	322	3
989	322	3
990	322	2
991	323	2
992	323	2
993	323	1
994	324	1
995	324	1
996	324	0
997	324	0
998	325	0
999	325	0
